net,length_um
u_cpu.latched_rd\[0\],299.77
_10184_,299.75
_12668_,299.3
_13446_,299.16
_06875_,298.92
_13343_,298.865
clknet_5_20__leaf_clk,298.5
_13364_,298.42
_12700_,298.22
_10134_,297.96
_13231_,297.84
_07311_,297.82
_09394_,297.31
_13411_,297.24
_14098_,297.16
_04715_,297.05
_07779_,297.02
_14019_,296.88
_12798_,296.7
_13335_,296.13
_12715_,296.05
_05337_,295.98
net4843,295.98
_13444_,295.79
u_cpu.decoded_imm\[8\],295.69
_08043_,295.42
_13442_,295.08
_13457_,295
_13390_,294.895
_13376_,294.555
_06378_,294.32
_13422_,294
_13426_,293.97
_06194_,293.53
u_cpu.latched_rd\[1\],293.22
_05934_,293.18
_05920_,293.06
_04529_,292.92
_11350_,292.82
_13253_,292.74
_13218_,292.52
_11564_,292.42
_07385_,292.34
_10659_,291.93
_08055_,291.76
_13360_,291.74
net1002,291.64
cpu_mem_rdata\[8\],291.56
_09374_,290.935
_05889_,290.38
_10867_,290.02
net4468,289.95
_07258_,289.4
_13397_,289.23
net5,289.23
_09423_,289.2
_06156_,288.7
_07115_,288.68
_13348_,288.62
_13334_,288.615
u_cpu.decoded_imm\[15\],288.515
_08013_,288.47
_13211_,288.285
_08059_,288.21
net4503,288.18
u_cpu.reg_pc\[11\],287.81
_09687_,287.7
_11844_,287.68
_07312_,287.56
_13284_,287.54
_14426_,287.48
_05845_,287.275
_04696_,287.25
_08018_,287.2
cpu_mem_rdata\[25\],287.19
_07222_,287.02
_10128_,286.92
_09450_,286.77
_13339_,286.675
_05929_,286.42
_08014_,286.34
net4621,286.28
net3977,286.2
_04697_,286.12
_07823_,285.93
u_cpu.decoded_imm\[24\],285.86
_14427_,285.845
net8,285.78
_12393_,285.62
_14279_,285.075
u_cpu.latched_rd\[3\],284.78
_12902_,284.395
_06715_,284.36
_08474_,284.35
_13340_,284.28
_12299_,284.14
_06878_,283.88
_13207_,283.8
u_cpu.latched_rd\[2\],283.78
_14170_,283.61
_13260_,283.38
_13443_,283.37
_13337_,283.23
_06330_,283.02
_10009_,283.01
_13333_,283.01
_04746_,282.98
_05334_,282.68
u_cpu.decoded_imm\[22\],282.48
_14350_,282.39
_07830_,282.38
_10004_,282.36
_13338_,282.2
_10744_,282.06
u_cpu.decoded_imm\[14\],282.015
net4700,281.95
_10651_,281.87
_05336_,281.66
_05808_,281.53
_14404_,281.52
_07138_,280.9
_11013_,280.84
_07211_,280.68
_08025_,280.68
_13361_,280.605
_05335_,280.24
_12776_,280.22
_13375_,280.09
_09387_,280.06
_09401_,279.91
_13205_,279.86
_10662_,279.6
_09320_,279.41
_13288_,279.33
_07282_,279.22
_14343_,278.955
u_cpu.decoded_imm\[27\],278.85
_12559_,278.66
_07068_,278.45
_13224_,278.43
_05718_,278.28
u_cpu.reg_pc\[2\],278.26
u_cpu.pcpi_rs2\[24\],278.08
_08626_,277.775
u_cpu.decoded_imm\[6\],277.67
_07246_,277.54
_06129_,277.44
_12855_,277.14
_05741_,277.12
net4650,276.16
_12740_,275.92
_06249_,275.45
_11022_,275.45
_14135_,275.45
_07149_,275.43
_13436_,275.22
_14419_,275.13
_09712_,275.09
_12965_,275.07
_12806_,275.06
_05316_,274.91
_13313_,274.725
_04405_,274.65
_08214_,274.58
_04786_,274.505
u_cpu.pcpi_rs2\[30\],274.11
_13933_,274.06
_05803_,274
_07787_,274
_06896_,273.855
_13435_,273.82
_10696_,273.34
clknet_5_21__leaf_clk,273.33
_12666_,273.3
net4886,273.165
_14034_,272.84
_05332_,272.46
_12433_,272.36
_11569_,271.96
_05333_,271.915
u_cpu.decoded_imm\[11\],271.79
_08024_,271.66
_13455_,271.62
_14388_,271.445
_06879_,271.44
_12691_,271.3
_08028_,271.12
_12840_,271.12
_06897_,270.76
_10077_,270.68
_09740_,270.59
_07219_,270.49
_12408_,270.4
_04698_,270.38
_05944_,270.33
_06362_,270.26
_09352_,270.21
_12385_,269.98
_13332_,269.96
_13342_,269.36
_13934_,269.36
_13315_,269.27
_13325_,269.24
_07781_,269.06
_14148_,268.97
_07467_,268.68
_13450_,268.54
_10038_,268.52
_08072_,268.38
_12848_,268.2
_14166_,268.165
_13996_,268.12
_06866_,268.06
_07498_,267.8
_06893_,267.735
_08026_,267.72
_11657_,267.71
u_cpu.decoded_imm\[25\],267.68
_13248_,267.57
net4657,267.52
_10742_,267.42
_08609_,267.255
_11891_,267.2
_00034_,266.865
_12572_,266.82
net837,266.8
_12714_,266.67
_13382_,266.64
u_cpu.reg_pc\[14\],266.64
net2900,266.64
_12667_,266.54
net653,266.53
_06901_,266.52
